Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
195;27/11/1999;3;9;17;32;37;44;0;1;;AM;6.370.250,64;339;4.005,56;13819;97,89;NÃO;0;0;0
196;04/12/1999;7;9;14;17;24;32;0;0; ; ;0;182;5.309,16;10493;91,75;SIM;1.159.520,95;0;0
197;11/12/1999;5;12;15;19;29;52;0;0; ; ;0;128;8.259,15;8720;120,78;SIM;2.428.125,98;0;0
198;18/12/1999;1;8;18;23;35;40;0;0; ; ;0;125;8.881,02;7134;155,02;SIM;3.760.278,08;0;0
199;24/12/1999;10;16;37;50;52;57;0;1;;SP;4.915.593,20;34;28.316,55;3143;305,16;NÃO;0;0;0
200;31/12/1999;12;15;19;34;44;51;0;2; ; ;8.829.389,20;186;11.008,48;13027;156,59;NÃO;0;0;0
201;08/01/2000;5;20;22;30;35;55;0;1;;RN;1.038.373,94;77;11.237,81;4502;191,48;NÃO;0;0;0
202;15/01/2000;12;24;44;45;49;53;0;0; ; ;0;65;12.412,65;4279;187,85;SIM;968.186,82;0;0
203;22/01/2000;11;19;29;44;47;55;0;0; ; ;0;63;14.099,33;5417;163,36;SIM;2.034.096,14;0;0
204;29/01/2000;29;31;39;41;51;58;0;0; ; ;0;32;30.221,85;2400;401,43;SIM;3.194.615,19;0;0
205;05/02/2000;26;32;40;43;46;54;0;1;;RJ;4.490.339,49;71;15.208,03;6014;178,86;NÃO;0;0;0
206;12/02/2000;18;20;26;34;51;56;0;0; ; ;0;43;17.769,34;3478;218,86;SIM;916.897,74;0;0
207;19/02/2000;3;7;19;24;53;55;0;0; ; ;0;90;9.663,76;6510;133,1;SIM;1.960.583,04;0;0
208;26/02/2000;15;23;24;25;47;57;0;0; ; ;0;72;12.679,18;5232;173,83;SIM;3.056.064,34;0;0
209;04/03/2000;13;21;26;32;41;52;0;0; ; ;0;81;12.349,82;5496;181,32;SIM;4.256.466,94;0;0
210;11/03/2000;20;32;37;38;48;58;0;0; ; ;0;29;46.721,17;3921;344,24;SIM;14.043.878,83;0;0
211;18/03/2000;10;20;33;40;45;50;0;0; ; ;0;164;10.880,27;16680;106,58;SIM;16.185.115,03;0;0
212;25/03/2000;6;15;29;45;57;59;0;0; ; ;0;147;13.318,79;9880;197,42;SIM;18.534.548,53;0;0
213;01/04/2000;3;9;23;30;32;35;0;3;;PR;7.089.194,54;312;7.299,77;18348;123,66;NÃO;0;0;0
RS;;;;;;;;;;;;;;;;;;;;
SC;;;;;;;;;;;;;;;;;;;;
214;08/04/2000;6;12;30;31;35;50;0;0; ; ;0;54;15.578,04;3769;222,35;SIM;1.009.456,63;0;0
215;15/04/2000;7;28;37;46;53;58;0;0; ; ;0;78;12.078,40;4942;189,92;SIM;2.139.994,41;0;0
